urlid,label
4042,-9.132895
8471,3.565017
1164,2.095087
6684,2.642365
9006,-19.786158
7018,-2.659427
8685,0.658577
3402,-3.554293
477,2.108872
6731,3.560824
2293,-1.808404
3651,-2.467905
1917,0.805590
1063,-0.185504
2110,0.687841
5318,-3.352727
9842,-1.647029
3946,-2.555822
334,1.528931
271,-0.186743
6984,-1.492331
8979,0.566725
1502,-2.127884
8945,50.000000
2839,-0.185504
1499,-2.609025
7298,-3.000650
3294,-1.267787
2949,0.402500
4156,-1.280765
1391,0.717441
2152,6.459331
8004,-2.161817
2807,0.564226
497,-0.970126
3201,-3.863209
6704,1.316497
1650,-1.686813
3561,3.312486
10154,-0.831730
7461,-6.421403
4064,2.058925
8138,-3.150036
383,2.525472
1754,1.397422
5053,-3.248997
4881,-4.107224
5483,-0.085013
4089,-7.442631
4781,-4.250391
6657,-7.782055
4763,0.712759
5354,-1.457347
8579,6.760966
3880,2.223094
7053,-0.185504
6006,3.338330
8197,-5.519290
9259,-1.137242
1656,0.770235
6410,3.831250
10530,-1.670534
8262,3.220445
5526,12.115393
1033,2.417179
7822,2.327569
10119,-5.429077
10207,1.408975
8796,-2.041639
9297,1.436552
3692,-9.685543
6928,-3.785423
4783,0.348645
2989,-0.167904
4981,7.610899
8198,3.050799
5039,4.365156
8513,2.203354
8073,-0.185504
6886,-0.358848
10159,1.361948
6514,4.990290
4265,0.331913
7021,3.359194
8949,-0.747393
7846,-2.014096
7275,-4.225986
1675,5.609150
1641,-4.586092
8747,5.768310
8438,-0.185504
4467,4.518096
9109,-2.413034
1020,-2.008722
3554,7.168506
6167,0.710815
3738,-5.109642
9791,-0.185504
2180,-0.179904
6153,-1.381685
7474,2.867964
5592,-0.232105
8568,-2.208921
8131,14.960152
10182,2.127084
741,2.761903
1080,0.279772
2749,0.655807
9685,-0.138335
1659,3.483312
7079,5.753178
2557,8.432631
2331,-4.270251
6322,13.401671
1961,-0.745545
4260,-2.878132
3041,5.452440
8364,-0.621215
8550,1.009907
8577,5.475693
5568,3.068730
9780,-1.590814
6500,-3.433389
9409,5.723200
2528,-3.913374
1014,7.369636
6420,-0.419790
3482,3.940905
5906,-1.700818
8202,6.350530
2814,5.248334
1536,2.105177
709,0.506405
7212,7.645768
1867,13.736772
7936,-7.525577
6995,-5.998851
2399,1.063538
593,-2.390110
8483,-5.277314
2030,8.733021
7230,16.257896
6289,4.272116
4656,-0.185504
8588,-20.368834
203,-1.233342
7906,-3.156567
6943,5.695992
552,3.925839
2198,4.293532
10515,4.231895
4384,5.553641
9396,-41.599377
10384,-2.215547
2867,-0.185504
1883,6.210142
9079,-0.185504
4751,-0.185504
770,4.287960
843,-1.914421
9834,-1.387342
4668,-4.770068
10080,-3.082672
5834,-2.411380
10338,3.754466
304,3.755191
2927,3.927292
3033,1.347417
7136,-1.158134
6807,-0.185504
5278,8.315923
3992,-1.180657
3725,30.073454
8016,5.333312
6151,1.412326
1914,-0.185504
6259,14.340625
3043,2.848379
3955,-0.773757
9157,-0.155124
3079,10.438687
3042,-2.829536
359,-1.254654
4542,-2.264811
6589,1.482976
6232,0.728879
7748,-1.822984
4043,-8.729345
6331,3.308408
1482,1.262435
6521,-4.068709
1106,2.660521
6127,-5.971828
3112,6.056504
2410,1.665180
6327,-4.837623
7821,-2.406171
4877,-2.391400
5236,-2.389961
3470,0.804709
9037,-0.185504
