urlid,label
5865,1.0
782,1.3530773976373574e-27
6962,2.128555089912363e-22
7640,1.0192640026720795e-75
3589,0.0038055591381912024
6719,8.789036488848839e-12
3905,2.0238877333191712e-14
9841,1.0
7447,4.271205056317542e-20
4776,5.456724615381242e-26
2879,4.1581749796769713e-23
2620,4.1581749796769713e-23
10479,8.601919333270442e-36
1105,5.839488322200197e-24
1849,1.5391691285458177e-06
8286,9.120718521329673e-18
8344,1.0
10486,1.0
8661,1.0
7188,4.787137829497436e-26
1433,1.0
677,6.343836938429055e-11
469,0.005790131019880392
6988,5.2909151730688764e-102
8024,1.3106721994695827e-22
6896,3.0730795762525868e-21
9154,1.2591058842256926e-23
342,4.1581749796769713e-23
50,5.130972684235729e-15
983,5.422325848615782e-42
6933,1.016538206264972e-23
8271,1.367220263048395e-41
5602,4.1581749796769713e-23
4505,9.264711561129064e-28
4966,1.0
2390,1.4496505825823714e-28
6736,7.242313330793777e-12
4660,1.0
7560,1.0
3840,0.9999806129552622
5823,0.9999999536453299
5789,1.0
1595,4.1581749796769713e-23
6770,0.02066180345394994
3522,3.191506044517914e-06
5584,1.0
8323,1.0
3862,0.999999999648935
373,3.1594330629404337e-24
7345,3.289782374515449e-33
7708,1.0
1398,1.0
4298,5.684900536138833e-32
7467,2.255382835991109e-28
1878,1.0
1832,1.0301868432409574e-26
625,9.94482227898142e-20
7438,1.1142420442791289e-37
9961,0.9999989806575593
7117,1.0329387784471803e-25
8190,4.074997632776457e-24
1713,2.409099288969348e-11
949,6.576184146314996e-19
9246,1.9266057055198278e-31
2326,9.58876716948141e-45
8942,2.2620219220991666e-30
4458,2.9163571825666314e-10
4659,2.0426719595713863e-17
9522,3.102436932965566e-83
2497,1.0
9836,4.1581749796769713e-23
3808,1.0
5575,1.0
5714,4.1581749796769713e-23
2490,1.0
6812,1.1435438885246233e-24
4335,3.4451580332989455e-24
10014,1.0
5889,1.0
482,1.0
8082,2.566736772224085e-75
5856,1.0
8866,9.388834904082066e-21
2624,1.0
1371,1.0
4436,7.363153029611266e-39
2972,1.0
3638,0.9999999999938609
6249,4.1581749796769713e-23
7602,2.1371878213572955e-23
9624,1.0
7567,4.975742095610616e-31
6578,1.979154000766497e-17
7590,4.5629792338680157e-23
8590,1.0
10520,1.0
1906,4.1581749796769713e-23
1373,1.6812130957635644e-42
1601,1.0
4754,3.9437161607055174e-22
8208,9.365091156273308e-24
1658,1.0
1352,1.0
8143,2.1976805921930782e-06
7760,0.8342512757935019
7836,4.5629792338680157e-23
9769,1.6566818216839437e-22
503,0.9999999999901092
4909,1.6984139045356222e-31
7162,3.942531841988083e-24
10035,1.0
1992,1.9106809119447116e-17
6133,2.1234255883386573e-27
8519,7.342936043326788e-19
1879,4.1581749796769713e-23
7107,2.486686791436573e-19
1225,1.0
2451,1.0
8252,3.2569949107054962e-24
9214,0.9999984127659991
4850,1.0
5891,3.808038039819277e-33
5274,2.206863079088609e-25
8623,1.1146800911508653e-48
562,1.0
860,5.996914020336216e-38
4199,1.0
7616,1.9006057280325597e-24
10544,1.3545863556087843e-12
1567,1.0
6552,5.159229517363932e-30
954,9.319718111929068e-28
111,4.212298518956562e-07
7036,4.630774352709608e-05
1995,1.0
7095,4.1581749796769713e-23
10180,4.7244646447075715e-07
6872,1.0
4805,1.0
355,1.0
8097,1.0
9271,1.0
431,7.1315686706562515e-28
1646,2.060458142169535e-08
143,1.0
3436,1.2202400661540523e-81
150,5.741856738018384e-10
9745,4.052465656655041e-26
715,1.881644439964565e-27
578,1.4316472600250724e-24
8684,1.0
1186,0.9999179187909351
9115,0.9999999473384391
9239,5.038970146824912e-31
5461,1.0
5424,1.0
1349,1.0
609,1.0
7569,4.473895916532222e-24
1622,0.004918343864930838
6541,7.367454252022866e-38
9873,1.0
305,1.819631736441181e-27
6041,6.773654130472099e-29
5360,1.1901110655249545e-26
8445,0.999999946211689
7260,2.8682557811577556e-38
4526,1.0
138,2.741704808294762e-20
168,4.726844428921965e-26
7888,1.0
4639,7.58508509315944e-18
867,1.4356634541190958e-18
9673,1.0
710,2.3013475645948848e-32
4749,4.505525344284635e-24
4716,8.853393246305736e-31
410,1.0
2155,1.0
3289,1.8871755997891185e-17
7774,4.1581749796769713e-23
1200,4.1581749796769713e-23
9057,4.1581749796769713e-23
2261,4.1581749796769713e-23
9612,4.1581749796769713e-23
4987,0.9999999999977263
3605,5.0424391323117035e-12
5068,1.0
4474,1.0
5831,1.0
4729,3.373664821673705e-46
10060,0.9959401922251178
6895,5.347285662432611e-25
3791,1.0
7910,8.31869756249443e-25
4209,6.450446644261276e-150
4984,1.0
1773,1.0350800173613518e-27
2101,6.405693757662165e-21
7251,2.811181788276978e-70
2887,6.3756719011465205e-22
875,0.08625708363366649
8185,1.38502560807533e-26
9688,1.0
5342,1.0271564856755099e-63
6802,1.0755604927403857e-16
3077,6.0519340824100554e-09
712,2.6909429644444692e-24
3026,4.1581749796769713e-23
2640,3.763469830489126e-20
4872,1.0590203543633328e-18
3334,1.0
2431,3.164453341858948e-14
9218,1.5718327483858078e-21
7417,1.0
3563,1.0
1006,4.128879867229648e-21
8940,0.005621787928671747
7703,9.646312822917844e-36
2686,1.5577335341125002e-17
8159,1.0
37,4.1581749796769713e-23
65,2.1019660608894506e-23
1910,4.1581749796769713e-23
2202,1.0
9717,1.0
2388,1.0
2365,1.6174429928994108e-11
5072,1.1941259594433607e-06
4614,5.864170718382707e-42
6955,4.711489797672801e-17
4094,6.190045378683287e-25
3319,1.0
1456,1.0
5381,1.0
4479,4.5629792338680157e-23
4766,7.703753288745099e-28
6076,2.9072984767496686e-08
8064,3.082467722014959e-16
3416,1.0
4892,3.9360136731639264e-30
9942,1.0
9215,6.933768020749776e-21
4506,1.0
9275,1.1515542626277967e-23
1306,1.0
6828,1.0
8368,0.9998480708550277
7205,1.4689115670509014e-25
360,1.0046740192115656e-15
3386,8.138721007443578e-19
3835,1.1573232268194812e-06
1305,2.3092107201359562e-27
7963,3.0525213875867766e-45
2073,0.03706883046468082
4230,4.1581749796769713e-23
9012,2.1135064821321624e-28
2723,1.0
6788,1.0
7945,1.0151940143380658e-33
4868,1.0
6597,2.630051667279263e-10
7323,5.267864956841269e-25
6229,2.070391061663482e-54
3427,4.1581749796769713e-23
7727,1.0325285390217002e-28
4707,1.0
2547,1.0
4523,1.0
9648,2.0850375849853033e-18
1084,6.5642462727710505e-81
3327,1.0
5591,5.658805801697528e-27
186,6.190397105100718e-28
2938,2.3565543817228817e-20
9912,1.0
6047,4.1581749796769713e-23
2417,1.0
10533,7.3878292651190164e-37
1137,2.999695209994208e-19
1533,1.0
9233,8.438853060636673e-09
43,5.209874749661532e-38
8986,6.3198154916729606e-24
6000,1.0
480,4.875703929898226e-29
2457,2.6924239291880974e-17
5362,1.7409636801034616e-28
7722,3.979602973619263e-23
7940,1.0
6104,1.0
8853,9.708647919088389e-38
5813,1.0
4769,7.417281530957278e-24
2544,4.1581749796769713e-23
6379,7.544523159852145e-41
5262,8.18565680865911e-38
9885,1.460687485953783e-23
10081,9.842377041621823e-18
1315,1.995379898710187e-22
3388,2.552993424610635e-38
3473,1.0
2117,4.1581749796769713e-23
9411,2.1283362374793007e-26
9379,1.0
4236,1.572726029007074e-33
2049,5.956396717737067e-196
4786,2.0330643304337323e-25
1604,1.6932185140221153e-21
7659,1.6102117901792216e-35
8152,1.723901539480988e-99
5417,5.689421745502516e-29
160,1.2618310734365986e-25
6826,1.0
1815,4.671673860968605e-18
3647,2.016551548083319e-08
5605,1.9025629485171923e-46
3526,1.0
3854,1.0
1053,4.772489922728843e-54
2411,4.1581749796769713e-23
6015,4.1581749796769713e-23
2089,1.0
7745,5.639689727825127e-15
6816,4.375110426091025e-17
3934,6.215721391519172e-19
6547,6.649117453824135e-26
3758,1.0
7158,1.0
1584,6.167651701865743e-102
2982,1.0
7679,1.0
5286,1.0
3776,0.9999999999842544
1235,6.317783711252741e-11
6294,1.037605592398859e-10
1012,0.3214928272168012
10318,2.841065621470298e-82
7134,1.4321594126501593e-09
5180,1.0
2108,1.822245325536919e-19
3639,3.987263877358353e-22
6729,3.129642252257126e-40
2472,5.884830316750783e-25
10235,3.6355276089200536e-08
190,1.0
4713,1.0
6827,9.95405118308171e-36
6108,1.0
1114,1.0
4848,4.1581749796769713e-23
606,1.1448501558287307e-39
1573,0.9998458411325404
8546,2.2214565578695965e-08
5193,8.347512842893352e-27
2936,3.7543470614818835e-32
5104,0.9999983494838013
6712,0.9999988742260455
3055,3.7949004224768964e-28
74,1.0
7726,1.4013983963024213e-10
9183,8.240129618537275e-19
162,6.959609097237407e-73
7288,0.23654854742732156
8657,8.008970052793651e-06
1295,2.0814308034238537e-46
8207,1.3114434337758964e-13
4433,1.0
590,1.0
10549,1.6060813339621793e-78
7749,0.9999999997460236
405,1.0
10267,1.0
7133,4.1581749796769713e-23
7584,1.0
6616,1.0
1719,4.1581749796769713e-23
9761,1.0
5859,1.1675937135214308e-22
5662,2.9367127633756964e-50
1736,8.200472754441067e-27
9333,7.661085529390654e-09
1102,1.1551928133995533e-19
2790,1.0
6598,1.0
7995,1.0
4452,1.0
159,4.1581749796769713e-23
511,1.0
7006,1.0
1123,1.0
6073,3.314377174686993e-22
7094,1.5391982584894927e-37
10008,6.7582194474715656e-15
7573,1.4352662129967765e-26
679,2.4485243540630997e-14
6809,2.941700700360477e-26
1108,1.0499189534947478e-109
380,1.3339897383709103e-41
204,1.7997231762381689e-38
7075,1.0821276793625047e-51
2550,0.9999999999984084
9785,3.680974614769972e-36
5036,4.1581749796769713e-23
3129,7.709925278106218e-20
6495,0.1328403867594165
880,1.1579536953855676e-24
2360,1.0298463579186622e-21
7839,7.056882228777439e-25
350,8.677792917259437e-23
9151,1.0
6650,2.4047249191327774e-22
7208,0.9999999993906385
5840,6.64990343280634e-30
5997,1.2923117533065605e-28
2103,1.0
713,1.0
7771,8.69650588396005e-57
10255,2.2728169152019087e-18
3944,1.0
4250,1.0586653919677582e-17
2833,3.529710981255991e-20
3052,1.1602090391090035e-22
7855,1.0
4152,3.7574941653149726e-26
4445,1.0
10036,4.5629792338680157e-23
9727,1.139802202437825e-28
2234,1.2324401748234666e-23
9632,1.0
626,3.2096412245731815e-23
1644,6.693535617503082e-28
4859,1.0
3987,4.0104176096496683e-28
5884,1.0
4112,1.0
10392,4.08273754204161e-106
2962,1.476849111725494e-19
21,4.1581749796769713e-23
8524,1.0
2543,2.0171731586445377e-21
663,4.1581749796769713e-23
2748,1.0
3451,2.987592456735747e-25
964,1.0
10560,1.0
2428,4.1581749796769713e-23
4520,8.48453432159959e-17
7660,1.0
6583,4.1581749796769713e-23
10390,4.1581749796769713e-23
688,5.153349119727225e-46
7957,1.0
3356,0.9999999932632591
1766,1.366056450077318e-31
9128,2.574669754098371e-16
2340,4.1581749796769713e-23
9421,4.1581749796769713e-23
7712,2.3057264468156868e-11
8200,6.576098580078325e-34
8762,7.430598499282153e-29
6446,4.1581749796769713e-23
5194,4.806916211629831e-45
960,4.068829162868966e-22
779,1.0
3584,0.999997477179476
3011,1.6149379056270578e-20
2769,6.792582292305487e-19
1392,4.1581749796769713e-23
7254,1.0
9084,4.5101206837013324e-09
9622,3.4631057332627934e-24
3665,4.1581749796769713e-23
1609,6.216081771681192e-35
6130,6.9273990141513375e-25
10155,5.811922044938555e-35
7826,1.0
8300,4.1581749796769713e-23
5038,4.1581749796769713e-23
7582,1.0
9561,1.3886972821002945e-46
7430,2.818582999332352e-17
5045,0.0005886039166548289
10421,5.779266909010642e-22
5675,1.184597378702865e-05
4687,1.4659740771236423e-20
4944,2.1237788883165449e-10
5105,1.0
148,4.1581749796769713e-23
6371,4.1581749796769713e-23
8108,3.2319977313349145e-29
4354,4.1581749796769713e-23
6077,1.2893888359615198e-09
4292,4.1581749796769713e-23
10068,4.1581749796769713e-23
5821,1.5192048673525505e-24
1042,0.9999999003603698
7715,3.900837686579558e-33
9703,2.6591540973349364e-24
2761,6.570790566502048e-16
7002,2.572187396978953e-59
7313,0.999175477207923
9050,1.1666453104867504e-19
5518,4.7337934413600315e-79
10556,0.0008332941648656949
1078,3.765316564923545e-41
9699,4.1581749796769713e-23
10445,1.0
8748,0.9999979830786164
2960,7.925614587158747e-20
4317,1.7842816460410687e-24
939,7.681890526584912e-27
8423,8.363776607872247e-35
5196,3.56075735781209e-38
8151,5.749023836436493e-29
7199,1.0
1574,4.735871853931748e-23
8566,4.1581749796769713e-23
7389,9.583364596040417e-18
1177,2.8816079691637867e-18
10282,0.9999999993509618
10098,4.1581749796769713e-23
4512,1.5266547445347182e-17
4055,1.0
8431,4.874363731620247e-07
4532,1.2725697310664262e-19
10450,2.3866201519838408e-27
5754,1.0
1882,1.0
1563,1.0
4871,0.001752066162561628
8440,2.044023117051888e-28
3253,1.149784017228195e-16
8270,5.0370605410795314e-30
4610,2.7890105278072093e-52
9619,1.4929816900399677e-29
8786,5.238206886295658e-29
2889,1.0
9781,6.623920284552243e-26
5061,4.819733574014008e-19
7059,1.0
2064,1.0
1587,4.22248374204917e-09
1934,1.0
5516,4.803063129124457e-22
9853,2.1769771081341704e-25
7867,1.5218587628907858e-21
1556,0.9999995582369204
5495,4.1581749796769713e-23
4274,7.409757832825245e-25
8177,4.1581749796769713e-23
9491,1.0
9813,4.3742142582081864e-24
2205,5.61373155773719e-23
2710,4.1581749796769713e-23
2992,1.3711208623868112e-85
7998,3.932530505616227e-24
6428,1.0
6638,1.744406391140597e-38
3035,0.9999999984533474
1578,4.123846997509565e-20
1324,8.857783485590288e-09
2316,1.0
9326,4.1581749796769713e-23
7359,1.0
7741,4.1581749796769713e-23
5143,8.344788083545969e-32
8196,1.0
630,7.430598499282153e-29
8481,1.0
8497,1.3014401753855441e-28
5409,1.0
5749,4.1581749796769713e-23
8219,3.80497028824583e-09
9571,1.0
4886,1.0
5367,6.575162889713381e-20
1185,5.8039351100979225e-33
8291,4.3087655922433745e-25
1590,4.1581749796769713e-23
7698,1.4390504863822266e-21
51,1.5846006429745702e-16
8784,1.0109323447024566e-25
3928,6.25457173382923e-23
5987,4.828214241499632e-155
7008,1.0
7482,1.0
9374,1.0921012485226263e-46
1296,4.1581749796769713e-23
10289,1.0
2986,3.516451424121057e-24
4651,6.860112591281852e-24
8594,4.1581749796769713e-23
7469,1.0
2871,2.4952677271156564e-33
1903,1.0
8571,1.0
4832,1.0
1242,1.0172765287298415e-27
7115,4.1581749796769713e-23
3599,4.1581749796769713e-23
2065,5.778448848712015e-25
