urlid,label
5865,0.712900
782,-0.330114
6962,-0.176777
7640,-0.871301
3589,-0.163573
6719,-0.274935
3905,-0.301670
9841,1.183254
7447,-0.376248
4776,-0.250947
2879,-0.174524
2620,-0.174524
10479,-0.569773
1105,-0.242691
1849,0.002503
8286,-0.095071
8344,0.874692
10486,1.302183
8661,1.244535
7188,-0.345707
1433,1.353784
677,-0.013143
469,0.052692
6988,-0.583250
8024,-0.283553
6896,-0.190688
9154,-0.400776
342,-0.174524
50,-0.390975
983,-0.788557
6933,-0.378656
8271,-0.765726
5602,-0.174524
4505,-0.314324
4966,0.799536
2390,-0.258745
6736,-0.327083
4660,1.035650
7560,0.776828
3840,-0.065758
5823,0.297136
5789,1.050797
1595,-0.174524
6770,0.117485
3522,0.053358
5584,0.635890
8323,0.707290
3862,0.079439
373,-0.228773
7345,-0.552905
7708,0.886223
1398,0.744374
4298,-0.441349
7467,-0.369344
1878,0.394268
1832,-0.336497
625,-0.207600
7438,-0.407609
9961,0.277244
7117,-0.304715
8190,-0.429763
1713,0.063359
949,-0.182087
9246,-0.404813
2326,-0.445741
8942,-0.568260
4458,-0.156400
4659,-0.199878
9522,-0.523027
2497,0.870422
9836,-0.174524
3808,1.085761
5575,1.071814
5714,-0.174524
2490,0.607790
6812,-0.469414
4335,-0.271621
10014,1.275691
5889,0.462434
482,0.796066
8082,-0.945356
5856,1.045670
8866,-0.227665
2624,1.291687
1371,0.745266
4436,-0.631469
2972,1.218055
3638,0.284137
6249,-0.174524
7602,-0.484259
9624,1.004395
7567,-0.508575
6578,-0.330629
7590,-0.174524
8590,0.910168
10520,0.249642
1906,-0.174524
1373,-0.531031
1601,0.877548
4754,-0.274608
8208,-0.481604
1658,1.091949
1352,0.897239
8143,0.114227
7760,0.070880
7836,-0.174524
9769,-0.166630
503,0.195544
4909,-0.582378
7162,-0.256083
10035,0.279512
1992,-0.067496
6133,-0.194897
8519,-0.552129
1879,-0.174524
7107,-0.358629
1225,0.209444
2451,0.256283
8252,-0.261818
9214,0.276082
4850,0.897200
5891,-0.736535
5274,-0.469632
8623,-0.751178
562,0.850870
860,-0.520394
