urlid,label
4042,-0.944983
8471,-0.542018
1164,0.026164
6684,0.010675
9006,-0.759888
7018,-0.176654
8685,-0.238824
3402,-0.336060
477,-0.212033
6731,0.942541
2293,-0.386720
3651,-0.474505
1917,-0.063328
1063,-0.174524
2110,1.092330
5318,-0.460784
9842,-0.273942
3946,-0.302972
334,0.608121
271,-0.054071
6984,-0.336751
8979,-0.038272
1502,-0.207971
8945,-0.158427
2839,-0.174524
1499,-0.374810
7298,-0.417383
3294,0.462844
2949,-0.227811
4156,-0.490581
1391,0.087243
2152,1.053339
8004,-0.128522
2807,0.042081
497,0.750467
3201,-0.544956
6704,0.254179
1650,-0.238736
3561,0.221339
10154,-0.180100
7461,-0.584632
4064,0.568337
8138,-0.343113
383,0.255765
1754,-0.470283
5053,-0.435124
4881,-0.548385
5483,-0.067127
4089,-0.547993
4781,-0.687211
6657,-0.709663
4763,-0.082258
5354,-0.241595
8579,0.986577
3880,-0.257893
7053,-0.174524
6006,0.316648
8197,-0.719927
9259,-0.323765
1656,0.229383
6410,1.026631
10530,-0.219069
8262,-0.094606
5526,1.317652
1033,-0.186678
7822,0.418693
10119,-0.467303
10207,0.343488
8796,-0.499362
9297,0.887834
3692,-0.630330
6928,-0.139986
4783,-0.126971
2989,-0.174524
4981,0.845885
8198,-0.221202
5039,0.927134
8513,0.760018
8073,-0.174524
6886,-0.127428
10159,-0.335054
6514,1.033167
4265,-0.263224
7021,0.114879
8949,-0.212306
7846,-0.284757
7275,-0.315209
1675,1.257303
1641,0.058991
8747,1.099203
8438,-0.174524
4467,-0.257479
9109,-0.520588
1020,-0.283255
3554,-0.324445
6167,-0.072593
3738,-0.452435
9791,-0.174524
2180,-0.171556
6153,-0.309231
7474,0.324158
5592,-0.001264
8568,-0.310310
8131,1.161632
10182,0.188727
741,0.154773
1080,-0.163392
2749,-0.279232
9685,0.304135
1659,0.850051
7079,0.487648
2557,0.798679
2331,-0.082529
6322,1.270379
1961,-0.221836
4260,-0.598177
3041,0.457833
8364,-0.264496
8550,-0.261895
8577,0.013746
5568,0.672540
9780,-0.182835
6500,-0.486843
9409,0.202099
2528,-0.361384
1014,1.130520
6420,-0.461274
