urlid,label
4042,-0.991773
8471,-0.609252
1164,0.087543
6684,0.056241
9006,-0.846785
7018,-0.196686
8685,-0.240370
3402,-0.284828
477,-0.221555
6731,0.966714
2293,-0.412523
3651,-0.488778
1917,-0.079141
1063,1.124366
2110,-0.486975
5318,-0.277440
9842,-0.291731
3946,0.630831
334,-0.017688
271,-0.314064
6984,-0.041805
8979,-0.235132
1502,-0.188673
8945,-0.384932
2839,-0.420900
1499,0.445976
7298,-0.203341
3294,-0.489968
2949,0.132138
4156,1.100885
1391,-0.139512
2152,0.032619
8004,0.741129
2807,-0.564690
497,0.260255
3201,-0.233525
6704,0.258146
1650,-0.125391
3561,-0.611294
10154,0.567169
7461,-0.378586
4064,0.313967
8138,-0.489493
383,-0.449398
1754,-0.622614
5053,-0.068923
4881,-0.557995
5483,-0.683358
4089,-0.682591
4781,-0.054752
6657,-0.245068
4763,1.000996
5354,-0.235531
8579,0.322483
3880,-0.779761
7053,-0.320375
6006,0.280347
8197,1.056295
9259,-0.231497
1656,-0.098529
6410,1.364555
10530,-0.179476
8262,0.443376
5526,-0.477888
1033,0.344159
7822,-0.506230
10119,0.939539
10207,-0.671138
8796,-0.203187
9297,-0.095388
3692,0.906785
6928,-0.232105
4783,0.961537
2989,0.766923
4981,-0.105651
8198,-0.336291
5039,1.079340
8513,-0.244680
8073,0.095276
6886,-0.210564
10159,-0.287903
6514,-0.332218
4265,1.261729
7021,0.064542
8949,1.148548
7846,-0.229706
7275,-0.534983
1675,-0.271392
1641,-0.367560
8747,-0.038728
8438,-0.489050
4467,-0.168986
9109,-0.323478
1020,0.388079
3554,0.009059
6167,-0.331432
3738,1.199269
9791,0.249412
2180,0.207506
6153,-0.205035
7474,-0.258770
5592,0.309825
8568,0.885779
8131,0.580463
10182,0.874732
741,-0.145330
1080,1.292115
2749,-0.211293
9685,-0.620604
1659,0.527909
7079,-0.295329
2557,-0.282823
2331,0.022686
6322,0.715537
1961,-0.199586
4260,-0.541102
3041,0.249018
8364,-0.400355
8550,1.174800
8577,-0.492076
5568,1.101449
9780,-0.181321
6500,1.335145
9409,1.189368
2528,-0.543959
1014,-0.383003
6420,1.038564
3482,0.148056
5906,-0.867251
8202,-0.674587
2814,0.031059
1536,-0.416273
709,-0.781891
7212,1.114313
1867,1.294981
7936,0.665906
6995,-0.305403
2399,-0.175269
593,-0.429522
8483,0.832035
2030,0.573882
7230,1.133035
6289,0.522573
4656,1.383503
8588,-0.484017
203,-0.355760
7906,0.791133
6943,0.475379
552,-0.429096
2198,-0.243286
10515,-0.532560
4384,-0.283945
9396,0.058504
10384,1.056155
2867,-0.119799
1883,0.933776
9079,-0.111860
4751,-0.306110
770,1.261577
843,-0.308863
9834,1.214692
4668,-0.052880
10080,-0.146269
5834,1.227804
